,time,application,angry,disgust,fear,happy,sad,surprise
74,2022_11_19_15_57_01,Code,0.38,0.0,0.14,0.07,0.34,0.07
75,2022_11_19_15_57_02,Code,0.37,0.03,0.09,0.03,0.41,0.06
76,2022_11_19_15_57_02,Code,0.47,0.0,0.06,0.06,0.28,0.12
77,2022_11_19_15_57_02,Code,0.4,0.0,0.15,0.05,0.3,0.1
78,2022_11_19_15_57_03,Code,0.42,0.0,0.21,0.04,0.28,0.04
79,2022_11_19_15_57_03,Code,0.31,0.04,0.15,0.04,0.46,0.0
80,2022_11_19_15_57_03,Code,0.55,0.06,0.11,0.02,0.25,0.02
81,2022_11_19_15_57_03,Code,0.3,0.03,0.11,0.03,0.51,0.03
82,2022_11_19_15_57_04,Code,0.37,0.02,0.12,0.04,0.43,0.02
83,2022_11_19_15_57_04,Code,0.23,0.06,0.12,0.02,0.56,0.02
84,2022_11_19_15_57_04,Code,0.42,0.02,0.09,0.02,0.45,0.0
85,2022_11_19_15_57_04,Code,0.61,0.02,0.1,0.02,0.21,0.05
86,2022_11_19_15_57_05,Code,0.39,0.02,0.1,0.02,0.45,0.02
87,2022_11_19_15_57_05,Code,0.38,0.03,0.1,0.02,0.43,0.03
88,2022_11_19_15_57_05,Code,0.36,0.05,0.06,0.0,0.53,0.0
89,2022_11_19_15_57_06,Code,0.17,0.02,0.07,0.0,0.72,0.01
90,2022_11_19_15_57_06,Code,0.16,0.02,0.06,0.0,0.74,0.01
91,2022_11_19_15_57_06,Code,0.22,0.06,0.08,0.0,0.62,0.03
92,2022_11_19_15_57_06,Code,0.25,0.05,0.08,0.0,0.62,0.02
93,2022_11_19_15_57_07,Code,0.37,0.02,0.05,0.02,0.52,0.02
94,2022_11_19_15_57_07,Code,0.28,0.0,0.04,0.32,0.32,0.04
95,2022_11_19_15_57_07,Code,0.01,0.0,0.0,0.99,0.0,0.0
96,2022_11_19_15_57_07,Code,0.0,0.0,0.0,0.99,0.0,0.01
97,2022_11_19_15_57_08,Code,0.0,0.0,0.0,0.99,0.0,0.01
98,2022_11_19_15_57_08,Code,0.0,0.0,0.0,1.0,0.0,0.0
99,2022_11_19_15_57_08,Code,0.0,0.0,0.0,1.0,0.0,0.0
100,2022_11_19_15_57_09,Code,0.0,0.0,0.0,0.99,0.0,0.01
101,2022_11_19_15_57_09,Code,0.0,0.0,0.0,1.0,0.0,0.0
102,2022_11_19_15_57_09,Code,0.0,0.0,0.0,0.99,0.0,0.01
103,2022_11_19_15_57_09,Code,0.45,0.0,0.15,0.0,0.39,0.0
104,2022_11_19_15_57_10,Code,0.79,0.03,0.05,0.0,0.12,0.0
105,2022_11_19_15_57_10,Code,0.97,0.01,0.01,0.0,0.01,0.0
106,2022_11_19_15_57_10,Code,0.82,0.16,0.01,0.0,0.01,0.0
107,2022_11_19_15_57_10,Code,0.88,0.1,0.01,0.0,0.01,0.0
108,2022_11_19_15_57_11,Code,0.94,0.05,0.0,0.0,0.01,0.0
109,2022_11_19_15_57_11,Code,0.89,0.09,0.01,0.0,0.01,0.0
110,2022_11_19_15_57_11,Code,0.92,0.07,0.0,0.0,0.01,0.0
111,2022_11_19_15_57_11,Code,0.77,0.22,0.0,0.0,0.01,0.0
112,2022_11_19_15_57_12,Code,0.74,0.24,0.01,0.0,0.01,0.0
113,2022_11_19_15_57_12,Code,0.37,0.37,0.02,0.0,0.25,0.0
114,2022_11_19_15_57_12,Code,0.28,0.03,0.03,0.0,0.66,0.0
115,2022_11_19_15_57_13,Code,0.4,0.0,0.03,0.0,0.56,0.0
116,2022_11_19_15_57_13,Code,0.38,0.0,0.04,0.12,0.46,0.0
117,2022_11_19_15_57_13,Code,0.34,0.0,0.03,0.06,0.56,0.0
118,2022_11_19_15_57_13,Code,0.28,0.0,0.03,0.03,0.66,0.0
119,2022_11_19_15_57_14,Code,0.45,0.0,0.13,0.0,0.42,0.0
120,2022_11_19_15_57_14,Code,0.52,0.0,0.08,0.0,0.4,0.0
121,2022_11_19_15_57_14,Code,0.54,0.0,0.08,0.04,0.28,0.04
122,2022_11_19_15_57_14,Code,0.4,0.0,0.13,0.07,0.4,0.0
123,2022_11_19_15_57_15,Code,0.33,0.0,0.1,0.05,0.48,0.05
124,2022_11_19_15_57_15,Code,0.38,0.0,0.08,0.0,0.54,0.0
125,2022_11_19_15_57_15,Code,0.37,0.0,0.1,0.0,0.52,0.0
126,2022_11_19_15_57_15,Code,0.4,0.0,0.09,0.0,0.51,0.0
127,2022_11_19_15_57_16,Code,0.32,0.0,0.08,0.0,0.61,0.0
128,2022_11_19_15_57_16,Code,0.3,0.0,0.07,0.0,0.63,0.0
129,2022_11_19_15_57_16,Code,0.05,0.0,0.05,0.0,0.9,0.0
130,2022_11_19_15_57_17,Code,0.24,0.0,0.07,0.0,0.69,0.0
131,2022_11_19_15_57_17,Code,0.38,0.0,0.12,0.0,0.5,0.0
132,2022_11_19_15_57_17,Code,0.14,0.0,0.04,0.0,0.81,0.0
133,2022_11_19_15_57_17,Electron,0.18,0.0,0.11,0.0,0.71,0.0
134,2022_11_19_15_57_18,Electron,0.17,0.0,0.1,0.0,0.73,0.0
135,2022_11_19_15_57_18,Electron,0.07,0.0,0.16,0.0,0.76,0.0
136,2022_11_19_15_57_18,Electron,0.1,0.0,0.12,0.0,0.78,0.0
137,2022_11_19_15_57_18,Electron,0.07,0.0,0.06,0.0,0.88,0.0
138,2022_11_19_15_57_19,Electron,0.03,0.0,0.1,0.0,0.86,0.0
139,2022_11_19_15_57_19,Electron,0.04,0.0,0.05,0.0,0.91,0.0
140,2022_11_19_15_57_19,Electron,0.01,0.0,0.05,0.0,0.94,0.0
141,2022_11_19_15_57_20,Electron,0.39,0.0,0.22,0.06,0.28,0.06
142,2022_11_19_15_57_20,Electron,0.36,0.0,0.21,0.0,0.36,0.07
143,2022_11_19_15_57_20,Electron,0.12,0.0,0.18,0.0,0.67,0.03
144,2022_11_19_15_57_20,Terminal,0.1,0.0,0.12,0.0,0.78,0.0
145,2022_11_19_15_57_21,Terminal,0.12,0.0,0.1,0.02,0.75,0.02
146,2022_11_19_15_57_21,Terminal,0.06,0.0,0.07,0.0,0.87,0.0
147,2022_11_19_15_57_21,Terminal,0.05,0.0,0.1,0.0,0.85,0.0
148,2022_11_19_15_57_21,Terminal,0.03,0.0,0.15,0.0,0.82,0.0
149,2022_11_19_15_57_22,Terminal,0.05,0.0,0.08,0.0,0.87,0.0
150,2022_11_19_15_57_22,Terminal,0.08,0.0,0.12,0.0,0.81,0.0
151,2022_11_19_15_57_22,Terminal,0.1,0.0,0.06,0.0,0.83,0.02
152,2022_11_19_15_57_22,Terminal,0.07,0.0,0.11,0.0,0.82,0.0
153,2022_11_19_15_57_23,Terminal,0.33,0.0,0.13,0.0,0.53,0.0
154,2022_11_19_15_57_23,Code,0.16,0.0,0.08,0.0,0.76,0.0
155,2022_11_19_15_57_23,Code,0.22,0.0,0.07,0.0,0.7,0.0
156,2022_11_19_15_57_24,Code,0.35,0.0,0.09,0.04,0.52,0.0
157,2022_11_19_15_57_24,Code,0.48,0.0,0.09,0.0,0.43,0.0
158,2022_11_19_15_57_24,Code,0.53,0.0,0.06,0.02,0.37,0.02
159,2022_11_19_15_57_24,Code,0.56,0.0,0.04,0.01,0.39,0.0
160,2022_11_19_15_57_25,Code,0.32,0.0,0.08,0.0,0.59,0.0
161,2022_11_19_15_57_25,Code,0.24,0.0,0.12,0.0,0.65,0.0
162,2022_11_19_15_57_25,Code,0.57,0.0,0.17,0.0,0.17,0.08
