,time,application,angry,disgust,fear,happy,sad,surprise
663,2022_07_24_17_58_21,Stocks,0.17,0.0,0.17,0.0,0.5,0.17
664,2022_07_24_17_58_21,Stocks,0.24,0.0,0.19,0.0,0.46,0.11
665,2022_07_24_17_58_21,Stocks,0.26,0.0,0.16,0.0,0.49,0.08
666,2022_07_24_17_58_22,Stocks,0.18,0.01,0.04,0.0,0.75,0.01
667,2022_07_24_17_58_22,Stocks,0.35,0.02,0.06,0.0,0.56,0.0
668,2022_07_24_17_58_22,Stocks,0.51,0.0,0.08,0.0,0.35,0.06
669,2022_07_24_17_58_23,Stocks,0.32,0.0,0.13,0.0,0.55,0.0
670,2022_07_24_17_58_23,Stocks,0.42,0.0,0.12,0.0,0.46,0.0
671,2022_07_24_17_58_23,Stocks,0.28,0.0,0.21,0.03,0.45,0.03
672,2022_07_24_17_58_24,Stocks,0.22,0.0,0.33,0.0,0.33,0.11
673,2022_07_24_17_58_24,Stocks,0.0,0.0,0.33,0.0,0.67,0.0
674,2022_07_24_17_58_24,Stocks,0.14,0.0,0.14,0.14,0.56,0.0
675,2022_07_24_17_58_25,Stocks,0.0,0.0,0.0,0.5,0.5,0.0
676,2022_07_24_17_58_25,Stocks,0.28,0.0,0.14,0.0,0.43,0.14
677,2022_07_24_17_58_26,Electron,0.22,0.0,0.22,0.0,0.44,0.11
678,2022_07_24_17_58_26,Electron,0.23,0.0,0.15,0.0,0.57,0.04
679,2022_07_24_17_58_26,Electron,0.41,0.0,0.24,0.0,0.28,0.07
680,2022_07_24_17_58_27,Electron,0.33,0.0,0.17,0.0,0.45,0.05
681,2022_07_24_17_58_27,Electron,0.3,0.0,0.18,0.0,0.44,0.08
682,2022_07_24_17_58_27,Electron,0.43,0.0,0.07,0.07,0.43,0.0
683,2022_07_24_17_58_28,Electron,0.27,0.0,0.13,0.07,0.33,0.2
684,2022_07_24_17_58_28,Electron,0.2,0.0,0.22,0.02,0.3,0.25
685,2022_07_24_17_58_28,Electron,0.16,0.0,0.24,0.0,0.27,0.32
686,2022_07_24_17_58_29,Electron,0.26,0.0,0.18,0.0,0.51,0.05
687,2022_07_24_17_58_29,Electron,0.18,0.0,0.18,0.0,0.62,0.02
688,2022_07_24_17_58_29,Electron,0.19,0.0,0.19,0.01,0.56,0.04
689,2022_07_24_17_58_30,Electron,0.24,0.01,0.2,0.0,0.39,0.16
690,2022_07_24_17_58_30,Electron,0.34,0.0,0.22,0.0,0.37,0.08
691,2022_07_24_17_58_30,Electron,0.47,0.0,0.17,0.0,0.31,0.06
692,2022_07_24_17_58_30,Electron,0.28,0.0,0.22,0.0,0.19,0.3
693,2022_07_24_17_58_31,Electron,0.3,0.0,0.2,0.0,0.2,0.31
694,2022_07_24_17_58_31,Electron,0.22,0.0,0.22,0.0,0.33,0.22
695,2022_07_24_17_58_31,Electron,0.05,0.0,0.08,0.0,0.85,0.01
696,2022_07_24_17_58_32,Electron,0.1,0.0,0.1,0.0,0.78,0.02
697,2022_07_24_17_58_32,Electron,0.09,0.0,0.12,0.0,0.78,0.01
698,2022_07_24_17_58_32,Stocks,0.24,0.0,0.38,0.0,0.33,0.05
699,2022_07_24_17_58_33,Stocks,0.41,0.0,0.24,0.0,0.28,0.06
700,2022_07_24_17_58_33,Stocks,0.52,0.0,0.17,0.0,0.22,0.09
701,2022_07_24_17_58_33,Stocks,0.39,0.04,0.21,0.0,0.32,0.04
702,2022_07_24_17_58_34,Stocks,0.3,0.03,0.3,0.0,0.21,0.15
703,2022_07_24_17_58_35,Stocks,0.35,0.0,0.15,0.25,0.25,0.01
704,2022_07_24_17_58_37,Stocks,0.34,0.01,0.08,0.02,0.53,0.02
705,2022_07_24_17_58_39,Stocks,0.27,0.01,0.08,0.1,0.42,0.12
706,2022_07_24_17_58_51,Electron,0.07,0.0,0.17,0.13,0.07,0.56
707,2022_07_24_17_58_51,Electron,0.14,0.0,0.45,0.01,0.01,0.38
708,2022_07_24_17_58_51,Electron,0.14,0.0,0.49,0.04,0.06,0.27
709,2022_07_24_17_58_52,Electron,0.27,0.0,0.35,0.02,0.18,0.18
710,2022_07_24_17_58_52,Electron,0.38,0.0,0.07,0.0,0.31,0.24
711,2022_07_24_17_58_53,Electron,0.32,0.0,0.18,0.05,0.23,0.23
712,2022_07_24_17_58_53,Electron,0.32,0.0,0.16,0.04,0.28,0.2
713,2022_07_24_17_58_53,Electron,0.32,0.0,0.21,0.0,0.28,0.19
714,2022_07_24_17_58_54,Electron,0.32,0.0,0.17,0.03,0.16,0.32
715,2022_07_24_17_58_54,Electron,0.28,0.0,0.2,0.02,0.31,0.19
716,2022_07_24_17_58_54,Electron,0.24,0.0,0.21,0.03,0.32,0.21
717,2022_07_24_17_58_55,Electron,0.28,0.0,0.17,0.03,0.14,0.39
